Tweet Id,text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,,,
1.29787E+18,"Distractions at home are part of #LivingWithCOVID, whether you're studying or working from home it's important to care for yourself. https://t.co/3RZK3UbifC",Carleton University,Carleton_U,2020-08-24T12:30:24.000Z,Mon Aug 24 12:30:24 +0000 2020,10,5,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,https://twitter.com/ottawahealth/status/1297872570541318146 ,1,0,,,,,
1.29787E+18,RT @CarletonLibrary : Level 2 will open at 9 this morning. Be sure to read through the precautions we're taking before coming by! https://t.co/p1P103Rdvl,Carleton University,Carleton_U,2020-08-24T12:21:34.000Z,Mon Aug 24 12:21:34 +0000 2020,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,https://library.carleton.ca/feature/we%E2%80%99re-now-ready-limited-reopening ,0,0,,,,,
1.29689E+18,"As founding members of the newly formed @TeamOPSE, the Carleton Ravens are ready to form teams for the inaugural season.  https://t.co/XHmxRg9hG1",Carleton University,Carleton_U,2020-08-21T19:03:21.000Z,Fri Aug 21 19:03:21 +0000 2020,9,4,en,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",Tweet,https://goravens.ca/news/2020/08/esports-registration-open-for-ravens-esports-team-tryouts/ ,0,1,,,,,
1.29683E+18,"RT @CarletonLibrary : As of August 24, Level 2, the ground level, will be open weekdays from 9 a.m. to 5 p.m. This is the next stage in our reopening plan and has been guided by public health.

Be sure to look through the details here: https://t.co/p1P103Rdvl",Carleton University,Carleton_U,2020-08-21T15:03:41.000Z,Fri Aug 21 15:03:41 +0000 2020,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,https://library.carleton.ca/feature/we%E2%80%99re-now-ready-limited-reopening ,0,0,,,,,
1.29683E+18,"Gain degree-related work experience, build your employability skills and earn academic credit, all while working from home through the Fall Virtual International Internship Program.
https://t.co/vjbIcxj9hR",Carleton University,Carleton_U,2020-08-21T15:03:11.000Z,Fri Aug 21 15:03:11 +0000 2020,4,5,en,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",Tweet,https://students.carleton.ca/2020/07/fall-virtual-internship-opportunities-available/ ,0,0,,,,,
1.29679E+18,"Carleton students can now develop and translate their employability skills with the FUSION Project. 
https://t.co/cw5ppmveAK",Carleton University,Carleton_U,2020-08-21T13:03:06.000Z,Fri Aug 21 13:03:06 +0000 2020,5,3,en,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",Tweet,https://students.carleton.ca/2020/08/fusion-project-launch-at-carleton-develop-and-translate-your-employability-skills/ ,0,0,,,,,
1.29677E+18,"@CU_Quality Thanks for your continued support, let us know if we can help prepare you a custom badge!",Carleton University,Carleton_U,2020-08-21T11:12:06.000Z,Fri Aug 21 11:12:06 +0000 2020,0,1,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,1,,,,,
1.29654E+18,"RT @CU_UnivServices : ?? The Carleton Bookstore is open online for all your textbook needs! 

?? Shop today by finding and ordering textbooks online at https://t.co/cfxTpvRJVG, and we are also open in-store!

#CarletonUniversityBookstore #CUBookstore #CarletonUniversity #Bookstore #Ravens #Textbooks https://t.co/KZ3JYVGMbS",Carleton University,Carleton_U,2020-08-20T20:13:29.000Z,Thu Aug 20 20:13:29 +0000 2020,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,http://carletonshop.ca ,6,0,photo,https://pbs.twimg.com/media/Ef359yvXkAAVK0J.jpg,,,
1.29653E+18,"@themohammadkhan Thanks for your question, any information about the status of the winter term is available on the COVID-19 website: https://t.co/IK4Akje6yt",Carleton University,Carleton_U,2020-08-20T19:18:05.000Z,Thu Aug 20 19:18:05 +0000 2020,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,https://newsroom.carleton.ca/coronavirus-covid-19/faq/#GR2 ,0,1,,,,,
1.29652E+18,"Did you know, at #CarletonU you can purchase your textbooks in a variety of formats? Many textbooks are offered in physical or digital formats, used or new, as well as rentals!
https://t.co/WcmtKbamRA",Carleton University,Carleton_U,2020-08-20T19:02:11.000Z,Thu Aug 20 19:02:11 +0000 2020,4,1,en,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",Tweet,https://students.carleton.ca/2020/08/the-carleton-bookstore-can-help-you-save-up-to-80-off-your-textbooks/ ,1,0,,,,,
